date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:14	47/47	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20Aug%202022%2016:37:29%20GMT	https://www.hacksplaining.com/robots.txt		(from )
13:47:15	22621/22621	---MC-	200	added ('OK')	text/html	etag:W/%22a2bb39a8c379c33bf6007af29c8f3479%22	https://www.hacksplaining.com/	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/index.html	(from )
13:47:15	20398/20398	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Aug%202022%2016:37:29%20GMT	https://www.hacksplaining.com/touch-icon-iphone.png	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/touch-icon-iphone.png	(from https://www.hacksplaining.com/)
13:47:15	20952/20952	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Aug%202022%2016:37:29%20GMT	https://www.hacksplaining.com/touch-icon-ipad.png	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/touch-icon-ipad.png	(from https://www.hacksplaining.com/)
13:47:15	22861/22861	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Aug%202022%2016:37:29%20GMT	https://www.hacksplaining.com/touch-icon-iphone-retina.png	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/touch-icon-iphone-retina.png	(from https://www.hacksplaining.com/)
13:47:16	22704/22704	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Aug%202022%2016:37:29%20GMT	https://www.hacksplaining.com/touch-icon-ipad-retina.png	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/touch-icon-ipad-retina.png	(from https://www.hacksplaining.com/)
13:47:17	2946962/2946962	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Aug%202022%2016:37:24%20GMT	https://d1o5lmfp4gliop.cloudfront.net/assets/application-bd10ee974bbc51bb3d86fa9ae10645db2b3eb4dc3d8cc7ce69082d3b5ef323f2.css	C:/My%20Web%20Sites/My%20sites/d1o5lmfp4gliop.cloudfront.net/assets/application-bd10ee974bbc51bb3d86fa9ae10645db2b3eb4dc3d8cc7ce69082d3b5ef323f2.css	(from https://www.hacksplaining.com/)
13:47:18	1548550/1548550	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Aug%202022%2016:37:24%20GMT	https://d1o5lmfp4gliop.cloudfront.net/assets/application-70c4df94450edcfd2aaba387739ebbeae5cc4e79db9eec96837bd15cf2ea700e.js	C:/My%20Web%20Sites/My%20sites/d1o5lmfp4gliop.cloudfront.net/assets/application-70c4df94450edcfd2aaba387739ebbeae5cc4e79db9eec96837bd15cf2ea700e.js	(from https://www.hacksplaining.com/)
13:47:19	50936/50936	---MC-	200	added ('OK')	text/html	etag:W/%2206fc12478ca7f1b3f18440795101ac6a%22	https://www.hacksplaining.com/features	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/features.html	(from https://www.hacksplaining.com/)
13:47:19	45194/45194	---MC-	200	added ('OK')	text/html	etag:W/%2271cb041f55ebfcf37a314cb4dfe5eb3c%22	https://www.hacksplaining.com/lessons	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/lessons.html	(from https://www.hacksplaining.com/)
13:47:20	35779/35779	---MC-	200	added ('OK')	text/html	etag:W/%2244dacd0d3926cf806eaa0b7c909fbe1a%22	https://www.hacksplaining.com/owasp	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/owasp.html	(from https://www.hacksplaining.com/)
13:47:20	47639/47639	---MC-	200	added ('OK')	text/html	etag:W/%2286128170ba34c2990769142e25772ce7%22	https://www.hacksplaining.com/enterprise	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/enterprise.html	(from https://www.hacksplaining.com/)
13:47:21	31362/31362	---MC-	200	added ('OK')	text/html	etag:W/%22eb6f1e976508f5f446e9e64ad0dddc48%22	https://www.hacksplaining.com/pci	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/pci.html	(from https://www.hacksplaining.com/)
13:47:22	19049/19049	---MC-	200	added ('OK')	text/html	etag:W/%226c204b9e08455b57307776091cb86a46%22	https://www.hacksplaining.com/book	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/book.html	(from https://www.hacksplaining.com/)
13:47:22	15223/15223	---MC-	200	added ('OK')	text/html	etag:W/%228379544ed358f5289fb739228ebebd12%22	https://www.hacksplaining.com/login	C:/My%20Web%20Sites/My%20sites/www.hacksplaining.com/login.html	(from https://www.hacksplaining.com/)
